Marca de Tiempo, Mbps Enviados, Mbps Recibidos
12:53:53,0.05,0.10
12:53:54,0.00,0.09
12:53:55,0.05,0.21
12:53:56,0.01,0.12
12:53:57,0.06,0.16
12:53:58,0.01,0.10
12:53:59,0.03,0.09
12:54:00,0.07,0.20
12:54:01,0.00,0.13
12:54:03,0.05,0.15
12:54:04,0.00,0.11
12:54:05,0.05,0.13
12:54:06,0.07,0.17
12:54:07,0.00,0.11
12:54:08,0.05,0.18
12:54:09,0.01,0.10
12:54:10,0.08,0.16
12:54:11,0.19,0.37
12:54:12,0.08,0.16
12:54:13,0.01,0.14
12:54:14,0.05,0.15
12:54:15,0.00,0.11
12:54:16,0.05,0.24
12:54:17,0.02,0.19
12:54:18,0.03,0.15
12:54:19,0.08,0.24
12:54:20,0.01,0.20
12:54:21,0.06,0.15
12:54:22,0.05,0.13
12:54:23,0.00,0.14
12:54:24,0.05,0.16
12:54:25,0.00,0.15
12:54:26,0.05,0.16
12:54:27,0.03,0.19
12:54:28,0.05,0.17
12:54:29,0.00,0.13
12:54:30,0.03,0.17
12:54:31,0.07,0.14
12:54:32,0.00,0.13
12:54:33,0.05,0.15
12:54:34,0.02,0.10
12:54:35,0.05,0.11
12:54:36,0.08,0.16
12:54:37,0.00,0.12
12:54:38,0.05,0.14
12:54:39,0.00,0.17
12:54:40,0.05,0.11
12:54:41,0.03,0.13
12:54:42,0.05,0.09
12:54:43,0.00,0.11
12:54:44,0.05,0.13
12:54:45,0.01,0.15
12:54:46,0.09,0.15
12:54:48,0.08,0.18
12:54:49,0.00,0.12
12:54:50,0.06,0.15
12:54:51,0.00,0.11
12:54:52,0.06,0.09
12:54:53,0.01,0.08
12:54:54,0.04,0.10
12:54:55,0.02,0.10
12:54:56,0.06,0.13
12:54:57,0.00,0.13
12:54:58,0.04,0.12
12:54:59,0.07,0.21
12:55:00,0.01,0.16
12:55:01,0.06,0.16
12:55:02,0.01,0.13
12:55:03,0.06,0.11
12:55:04,0.00,0.12
12:55:05,0.06,0.20
12:55:06,0.01,0.17
12:55:07,0.04,0.21
12:55:08,0.06,0.17
12:55:09,0.08,0.18
12:55:10,0.01,0.15
12:55:11,0.07,0.16
12:55:12,0.00,0.19
12:55:13,0.05,0.16
12:55:14,0.02,0.11
12:55:15,0.06,0.15
12:55:16,0.00,0.15
12:55:17,0.06,0.10
12:55:18,0.01,0.17
12:55:19,0.07,0.13
12:55:20,0.00,0.15
12:55:21,0.06,0.15
12:55:22,0.00,0.12
12:55:23,0.06,0.14
12:55:24,0.02,0.14
12:55:25,0.07,0.15
12:55:26,0.11,0.28
12:55:27,0.02,0.13
12:55:28,0.07,0.17
12:55:29,0.08,0.19
12:55:30,0.05,0.13
12:55:31,0.03,0.14
12:55:32,0.08,0.13
12:55:33,0.06,0.16
12:55:35,0.07,0.11
12:55:36,0.00,0.12
12:55:37,0.06,0.09
12:55:38,0.02,0.14
12:55:39,0.07,0.13
12:55:40,0.00,0.16
12:55:41,0.06,0.09
12:55:42,0.00,0.15
12:55:43,0.05,0.11
12:55:44,0.09,0.16
12:55:45,0.01,0.14
12:55:46,0.06,0.16
12:55:47,0.01,0.14
12:55:48,0.07,0.12
12:55:49,0.00,0.15
12:55:50,0.18,0.22
12:55:51,0.37,0.50
12:55:52,0.53,0.63
12:55:53,0.36,0.52
